City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
0,Punta Arenas,-53.15,-70.9167,57.2,41,0,29.93,CL,2021-01-21 22:14:37,clear sky
1,Smithers,54.7804,-127.1743,23.0,80,90,4.61,CA,2021-01-21 22:14:37,overcast clouds
2,Nikolskoye,59.7035,30.7861,14.0,92,90,13.42,RU,2021-01-21 22:14:37,snow
3,Carauari,-4.8828,-66.8958,80.22,80,41,2.64,BR,2021-01-21 22:14:37,light rain
4,La Rioja,42.25,-2.5,46.4,87,40,2.3,ES,2021-01-21 22:14:37,scattered clouds
5,Agustin Codazzi,10.0341,-73.2361,91.6,36,6,5.01,CO,2021-01-21 22:14:37,clear sky
6,Ibirite,-20.0219,-44.0589,80.6,34,0,12.66,BR,2021-01-21 22:14:37,clear sky
7,Baykit,61.67,96.37,-36.49,75,95,3.58,RU,2021-01-21 22:14:37,overcast clouds
8,Qaanaaq,77.484,-69.3632,11.26,89,84,2.73,GL,2021-01-21 22:14:37,broken clouds
9,Lardos,36.0942,28.0157,55.4,76,40,6.91,GR,2021-01-21 22:14:38,light rain
10,Thompson,55.7435,-97.8558,-11.2,77,75,2.3,CA,2021-01-21 22:14:25,light snow
11,Ihosy,-22.4,46.1167,73.22,92,100,3.29,MG,2021-01-21 22:14:38,light rain
12,Hermanus,-34.4187,19.2345,72.0,80,84,7.0,ZA,2021-01-21 22:13:26,light rain
13,Pangoa,-12.1167,-73.0,81.28,64,60,1.66,PE,2021-01-21 22:14:38,light rain
14,Staryy Nadym,65.6118,72.6842,-38.13,80,0,10.42,RU,2021-01-21 22:14:38,clear sky
15,East London,-33.0153,27.9116,73.74,82,47,16.82,ZA,2021-01-21 22:14:38,scattered clouds
16,Plettenberg Bay,-34.0527,23.3716,69.96,87,42,5.06,ZA,2021-01-21 22:14:38,scattered clouds
17,Vaini,-21.2,-175.2,80.6,89,75,11.5,TO,2021-01-21 22:14:38,moderate rain
18,Te Anau,-45.4167,167.7167,56.59,81,92,4.76,NZ,2021-01-21 22:14:38,overcast clouds
19,Butaritari,3.0707,172.7902,79.79,80,22,11.43,KI,2021-01-21 22:14:38,moderate rain
20,Rikitea,-23.1203,-134.9692,78.78,73,0,15.79,PF,2021-01-21 22:14:39,clear sky
21,Jamestown,42.097,-79.2353,35.6,64,90,12.66,US,2021-01-21 22:09:47,overcast clouds
22,Ushuaia,-54.8,-68.3,53.6,71,20,3.44,AR,2021-01-21 22:14:39,few clouds
23,Sherkot,29.35,78.5833,49.28,53,0,1.36,IN,2021-01-21 22:14:39,clear sky
24,Yar-Sale,66.8333,70.8333,-36.06,83,75,8.3,RU,2021-01-21 22:14:39,broken clouds
25,Salalah,17.0151,54.0924,68.0,60,0,3.44,OM,2021-01-21 22:14:39,clear sky
26,Galesong,-5.3166,119.3661,78.75,83,75,7.36,ID,2021-01-21 22:14:39,light rain
27,Awjilah,29.1081,21.2869,46.76,55,0,8.77,LY,2021-01-21 22:14:39,clear sky
28,Bluff,-46.6,168.3333,57.99,83,57,15.01,NZ,2021-01-21 22:14:39,broken clouds
29,Hasaki,35.7333,140.8333,30.2,86,40,3.44,JP,2021-01-21 22:14:39,scattered clouds
30,Mehamn,71.0357,27.8492,19.4,86,90,13.8,NO,2021-01-21 22:14:39,snow
31,Najran,17.4924,44.1277,59.0,38,60,4.61,SA,2021-01-21 22:10:27,dust
32,Amboasary,-25.0333,46.3833,82.4,89,20,20.71,MG,2021-01-21 22:14:40,light rain
33,Carutapera,-1.195,-46.02,78.08,87,100,8.55,BR,2021-01-21 22:14:40,light rain
34,Awbari,26.5921,12.7805,49.44,47,0,6.8,LY,2021-01-21 22:14:40,clear sky
35,Silvan,38.1419,41.0081,24.8,86,0,4.61,TR,2021-01-21 22:14:40,clear sky
36,Manggar,-2.8833,108.2667,77.95,86,13,8.5,ID,2021-01-21 22:14:40,few clouds
37,Saint-Philippe,-21.3585,55.7679,82.4,74,75,11.03,RE,2021-01-21 22:14:40,broken clouds
38,Busselton,-33.65,115.3333,62.01,88,0,3.0,AU,2021-01-21 22:14:40,clear sky
39,Nuuk,64.1835,-51.7216,24.8,80,20,8.05,GL,2021-01-21 22:14:41,few clouds
40,Cherskiy,68.75,161.3,-40.09,81,0,2.37,RU,2021-01-21 22:14:41,clear sky
41,Port Elizabeth,-33.918,25.5701,69.8,94,75,9.22,ZA,2021-01-21 22:14:41,broken clouds
42,Severo-Kurilsk,50.6789,156.125,18.82,93,99,3.38,RU,2021-01-21 22:14:41,light snow
43,Atuona,-9.8,-139.0333,77.54,79,52,13.47,PF,2021-01-21 22:14:41,broken clouds
44,Ambovombe,-25.1667,46.0833,78.78,89,10,4.47,MG,2021-01-21 22:14:41,clear sky
45,Torbay,47.6666,-52.7314,30.0,100,90,32.21,CA,2021-01-21 22:10:27,heavy snow
46,Avarua,-21.2078,-159.775,86.0,70,20,6.91,CK,2021-01-21 22:14:41,light rain
47,Tasiilaq,65.6145,-37.6368,8.6,78,20,6.91,GL,2021-01-21 22:14:41,few clouds
48,Norman Wells,65.282,-126.8329,5.0,85,75,2.3,CA,2021-01-21 22:14:42,light snow
49,Mumford,5.2618,-0.759,79.34,85,55,7.76,GH,2021-01-21 22:14:42,broken clouds
50,Hongjiang,27.11,109.9956,48.15,90,100,2.64,CN,2021-01-21 22:14:42,moderate rain
51,Kutum,14.2,24.6667,50.97,42,7,10.89,SD,2021-01-21 22:14:42,clear sky
52,Margate,51.3813,1.3862,42.01,83,100,1.99,GB,2021-01-21 22:14:42,overcast clouds
53,Kapaa,22.0752,-159.319,78.8,69,40,14.97,US,2021-01-21 22:12:34,light rain
54,Ketchikan,55.3422,-131.6461,35.6,80,75,8.05,US,2021-01-21 22:14:42,broken clouds
55,Albany,42.6001,-73.9662,32.0,55,93,5.68,US,2021-01-21 22:14:20,overcast clouds
56,Bolshevik,54.0065,27.5692,30.2,93,100,11.18,BY,2021-01-21 22:14:42,overcast clouds
57,Sitka,57.0531,-135.33,39.2,87,90,3.44,US,2021-01-21 22:14:42,overcast clouds
58,Licheng,23.2955,113.8284,66.99,88,75,8.95,CN,2021-01-21 22:14:42,broken clouds
59,Yatou,37.15,122.3833,35.89,91,85,11.65,CN,2021-01-21 22:14:43,overcast clouds
60,Sechura,-5.5569,-80.8222,81.16,56,12,17.34,PE,2021-01-21 22:14:43,few clouds
61,Russell,32.3502,-85.1999,69.8,64,90,6.91,US,2021-01-21 22:14:43,haze
62,Dikson,73.5069,80.5464,-26.48,83,7,4.12,RU,2021-01-21 22:14:43,clear sky
63,Hilo,19.7297,-155.09,69.8,83,90,5.75,US,2021-01-21 22:14:43,heavy intensity rain
64,Bambous Virieux,-20.3428,57.7575,79.0,83,40,5.75,MU,2021-01-21 22:14:43,scattered clouds
65,Bengkulu,-3.8004,102.2655,75.11,87,100,5.46,ID,2021-01-21 22:14:43,light rain
66,Sibu,2.3,111.8167,73.4,100,40,0.65,MY,2021-01-21 22:14:43,scattered clouds
67,Bredasdorp,-34.5322,20.0403,69.8,88,78,8.05,ZA,2021-01-21 22:14:43,broken clouds
68,Mataura,-46.1927,168.8643,57.99,83,74,15.01,NZ,2021-01-21 22:14:44,broken clouds
69,Hofn,64.2539,-15.2082,29.55,89,70,23.71,IS,2021-01-21 22:14:44,broken clouds
70,Goundam,16.4145,-3.6708,70.21,20,0,11.41,ML,2021-01-21 22:14:44,clear sky
71,Roald,62.5833,6.1333,41.0,75,0,4.61,NO,2021-01-21 22:14:44,clear sky
72,Varzea Da Palma,-17.5981,-44.7308,75.61,64,96,1.97,BR,2021-01-21 22:13:06,overcast clouds
73,Aklavik,68.2191,-135.0107,-9.4,77,90,7.49,CA,2021-01-21 22:14:44,overcast clouds
74,Ribeira Grande,38.5167,-28.7,59.0,77,40,5.75,PT,2021-01-21 22:14:44,scattered clouds
75,Inirida,3.8653,-67.9239,76.68,95,100,2.06,CO,2021-01-21 22:12:04,light rain
76,Korop,51.5664,32.9586,28.02,99,91,12.1,UA,2021-01-21 22:14:44,overcast clouds
77,Lorengau,-2.0226,147.2712,82.17,64,100,1.25,PG,2021-01-21 22:14:45,overcast clouds
78,Bumba,2.1833,22.4667,75.04,54,97,1.23,CD,2021-01-21 22:14:45,overcast clouds
79,Loreto,22.2667,-101.9667,74.3,26,1,17.45,MX,2021-01-21 22:14:45,clear sky
80,Ravar,31.2656,56.8055,35.53,70,8,8.28,IR,2021-01-21 22:14:45,clear sky
81,Lembeni,-3.7833,37.6167,70.23,75,100,6.55,TZ,2021-01-21 22:14:45,overcast clouds
82,Iwaki,37.05,140.8833,37.0,91,58,4.88,JP,2021-01-21 22:14:45,broken clouds
83,Hithadhoo,-0.6,73.0833,81.81,74,83,9.98,MV,2021-01-21 22:14:46,broken clouds
84,Yellowknife,62.456,-114.3525,-14.8,76,75,3.44,CA,2021-01-21 22:13:44,broken clouds
85,Portland,45.5234,-122.6762,48.99,81,75,3.2,US,2021-01-21 22:13:07,broken clouds
86,New Norfolk,-42.7826,147.0587,68.0,47,100,4.0,AU,2021-01-21 22:14:46,overcast clouds
87,Tura,25.5198,90.2201,56.5,57,0,3.74,IN,2021-01-21 22:14:46,clear sky
88,Ninghai,29.2892,121.4247,59.0,99,73,3.11,CN,2021-01-21 22:13:03,broken clouds
89,Cidreira,-30.1811,-50.2056,73.92,85,82,15.95,BR,2021-01-21 22:13:09,broken clouds
90,Tambura,5.6,27.4667,69.67,26,77,4.59,SS,2021-01-21 22:14:46,broken clouds
91,Cape Town,-33.9258,18.4232,70.0,82,40,10.36,ZA,2021-01-21 22:10:15,scattered clouds
92,Pisco,-13.7,-76.2167,75.2,69,0,23.02,PE,2021-01-21 22:14:46,clear sky
93,Bria,6.5423,21.9863,71.46,32,75,4.65,CF,2021-01-21 22:14:47,broken clouds
94,Coahuayana,18.7333,-103.6833,86.0,45,40,6.96,MX,2021-01-21 22:14:47,scattered clouds
95,Sorland,67.667,12.6934,24.8,58,75,36.82,NO,2021-01-21 22:14:47,light snow
96,Hobart,-42.8794,147.3294,68.0,34,0,12.66,AU,2021-01-21 22:13:09,clear sky
97,Zaysan,47.4667,84.8667,18.0,90,92,2.24,KZ,2021-01-21 22:10:17,overcast clouds
98,Sistranda,63.7256,8.834,39.2,65,0,18.41,NO,2021-01-21 22:14:47,clear sky
99,Saskylakh,71.9167,114.0833,-22.13,85,100,9.37,RU,2021-01-21 22:14:47,overcast clouds
100,Taoudenni,22.6783,-3.9836,66.47,21,7,11.86,ML,2021-01-21 22:14:47,clear sky
101,Touros,-5.1989,-35.4608,78.8,78,0,9.22,BR,2021-01-21 22:14:47,clear sky
102,Cabo San Lucas,22.8909,-109.9124,77.0,73,75,9.22,MX,2021-01-21 22:12:07,broken clouds
103,San Quintin,30.4833,-115.95,62.38,70,1,9.17,MX,2021-01-21 22:14:48,clear sky
104,Olenegorsk,68.15,33.3,-4.49,91,89,2.48,RU,2021-01-21 22:14:48,overcast clouds
105,Laguna,38.421,-121.4238,64.99,31,1,5.75,US,2021-01-21 22:11:56,clear sky
