City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Carauari,BR,80.22,light rain,-4.8828,-66.8958,Hotel Fellip
6,Ibirite,BR,80.6,clear sky,-20.0219,-44.0589,Jangada Hotel
17,Vaini,TO,80.6,moderate rain,-21.2,-175.2,Keleti Beach Resort
19,Butaritari,KI,79.79,moderate rain,3.0707,172.7902,Isles Sunset Lodge
20,Rikitea,PF,78.78,clear sky,-23.1203,-134.9692,Pension Maro'i
26,Galesong,ID,78.75,light rain,-5.3166,119.3661,Sapriadi Appy
32,Amboasary,MG,82.4,light rain,-25.0333,46.3833,DISCOVERY AMBOASARY
33,Carutapera,BR,78.08,light rain,-1.195,-46.02,Lidera
36,Manggar,ID,77.95,few clouds,-2.8833,108.2667,Guest Hotel
37,Saint-Philippe,RE,82.4,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
43,Atuona,PF,77.54,broken clouds,-9.8,-139.0333,Villa Enata
44,Ambovombe,MG,78.78,clear sky,-25.1667,46.0833,RELAHARA
46,Avarua,CK,86.0,light rain,-21.2078,-159.775,Paradise Inn
49,Mumford,GH,79.34,broken clouds,5.2618,-0.759,Spanish Villa
53,Kapaa,US,78.8,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
60,Sechura,PE,81.16,few clouds,-5.5569,-80.8222,Hospedaje Costa Bella
64,Bambous Virieux,MU,79.0,scattered clouds,-20.3428,57.7575,Casa Tia Villa
65,Bengkulu,ID,75.11,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
72,Varzea Da Palma,BR,75.61,overcast clouds,-17.5981,-44.7308,Casa Fernandes
75,Inirida,CO,76.68,light rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
77,Lorengau,PG,82.17,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
78,Bumba,CD,75.04,overcast clouds,2.1833,22.4667,Hôtel Cape Town
83,Hithadhoo,MV,81.81,broken clouds,-0.6,73.0833,Scoop Guest House
92,Pisco,PE,75.2,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
94,Coahuayana,MX,86.0,scattered clouds,18.7333,-103.6833,Hotel Los Arcos
101,Touros,BR,78.8,clear sky,-5.1989,-35.4608,INN NEW HORIZON
102,Cabo San Lucas,MX,77.0,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
107,Coachella,US,75.2,clear sky,33.6803,-116.1739,Fantasy Springs Resort Casino
108,Sao Joao Da Barra,BR,78.8,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
109,Pangai,TO,80.6,light rain,-19.8,-174.35,Ha'apai Beach Resort
110,Faanui,PF,80.87,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
114,Rameswaram,IN,79.41,light rain,9.2833,79.3,Daiwik Hotels Rameswaram
116,Iztapa,GT,87.8,clear sky,13.9333,-90.7075,Villas de Puerto Viejo
118,San Cristobal,VE,82.4,scattered clouds,7.7669,-72.225,Pirineos
124,Georgetown,MY,77.0,few clouds,5.4112,100.3354,Cititel Penang
125,Kimbe,PG,80.35,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
130,Martapura,ID,75.11,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
134,Isangel,VU,78.8,moderate rain,-19.55,169.2667,Volcano Sea View Tree House
136,Alofi,NU,84.2,light rain,-19.0595,-169.9187,Taloa Heights
139,Mar Del Plata,AR,78.8,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
144,Mareeba,AU,78.8,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
169,Bitung,ID,75.2,few clouds,1.4451,125.1824,K2 Lembeh
173,Ixtapa,MX,80.6,few clouds,20.7,-105.2,Container Inn Puerto Vallarta
180,Upington,ZA,80.6,broken clouds,-28.4478,21.2561,River Place Manor
189,Santa Rita,BR,80.6,few clouds,-7.1139,-34.9781,Infinity Motel
193,Kalmunai,LK,77.05,light rain,7.4167,81.8167,VS Villa
195,Vila Velha,BR,81.0,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
196,Arraial Do Cabo,BR,80.6,clear sky,-22.9661,-42.0278,Pousada Porto Praia
200,Daloa,CI,79.09,scattered clouds,6.8774,-6.4502,Imans Hotel Daloa
205,Puerto Ayora,EC,82.4,broken clouds,-0.7393,-90.3518,Castillo Galapagos
206,Mahebourg,MU,77.0,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
213,Guaruja,BR,81.0,moderate rain,-23.9931,-46.2564,Charme Hotel Guarujá
216,Natal,BR,80.6,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
226,Guadalajara,MX,80.01,broken clouds,20.6667,-103.3333,Hotel Aranzazú
230,Makakilo City,US,82.4,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
233,Banjar,ID,77.59,overcast clouds,-8.19,114.9675,The Hamsa Resort
236,Kailua,US,82.4,overcast clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
238,Samarai,PG,82.81,light rain,-10.6167,150.6667,Nuli Sapi
240,Cayenne,GF,77.0,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
246,Roebourne,AU,82.85,broken clouds,-20.7833,117.1333,Harding River Caravan Park
251,Labuhan,ID,77.7,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
254,Contamana,PE,87.08,broken clouds,-7.3333,-75.0167,Shiringal Touristic Park
255,Azul,AR,87.01,clear sky,-36.777,-59.8585,Cabañas Dulcinea
260,Gigmoto,PH,79.2,overcast clouds,13.7796,124.39,Cj's Travellers Inn
265,Muisne,EC,78.8,light rain,0.6,-80.0333,Quinta Samay
270,Necochea,AR,87.01,clear sky,-38.5473,-58.7368,dyd -mar Hotel
271,Karratha,AU,82.45,broken clouds,-20.7377,116.8463,ibis Styles Karratha
276,Iguape,BR,76.71,overcast clouds,-24.7081,-47.5553,Hotel Pousada Nossa Senhora do Carmo
278,Manokwari,ID,78.48,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
279,Carnarvon,AU,77.0,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
284,Trelew,AR,89.83,clear sky,-43.248999999999995,-65.3051,Hotel Touring Club
290,Poum,NC,79.16,overcast clouds,-20.2333,164.0167,Gîte kajeon
293,Port-Gentil,GA,80.6,light rain,-0.7193,8.7815,Fengshui Residence
294,Salinopolis,BR,79.25,moderate rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
295,Cairns,AU,78.8,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
297,Fare,PF,81.32,few clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
300,Lakes Entrance,AU,75.0,broken clouds,-37.8811,147.981,The Esplanade Resort & Spa
307,Bucerias,MX,80.6,few clouds,20.75,-105.3333,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
309,Ayame,CI,75.58,broken clouds,5.6083,-3.1563,Hotel Bossan
313,Kahului,US,80.6,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
319,Labuan,MY,75.2,few clouds,5.2767,115.2417,Tiara Labuan Hotel
320,Nabire,ID,77.34,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
321,Kathu,TH,82.0,few clouds,7.9178,98.3332,Novotel Phuket Resort
325,Yaritagua,VE,80.6,scattered clouds,10.08,-69.1261,Apartamento de Julian Cotillo
328,Caraballeda,VE,84.2,few clouds,10.6112,-66.8522,Hotel 15 Letras
330,Katiola,CI,82.4,clear sky,8.1333,-5.1,Kakoumani
335,Takoradi,GH,79.41,broken clouds,4.8845,-1.7554,Raybow International Hotel
338,Dhidhdhoo,MV,82.35,overcast clouds,6.8833,73.1,Dhidhoo beach
339,Betioky,MG,80.24,broken clouds,-23.7167,44.3833,Bungalows Acacias Hotel
340,Alyangula,AU,78.8,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
341,Kandrian,PG,81.82,overcast clouds,-6.2167,149.55,Kandrian Station
362,Itarema,BR,79.61,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
364,Touho,NC,77.72,light rain,-20.7833,165.2333,Auberge Timay Evasion
369,Tarakan,ID,76.6,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
373,Hambantota,LK,76.37,scattered clouds,6.1241,81.1185,Bungalow 63
374,Port Moresby,PG,75.2,scattered clouds,-9.4431,147.1797,Lamana Hotel
378,Harper,LR,78.64,clear sky,4.375,-7.7169,Screensaver
385,Oriximina,BR,77.72,light rain,-1.7656,-55.8661,Pousada Tia Amélia
391,Richards Bay,ZA,75.6,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
